Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
2,54,0.034918407689863304,0.08027648844073781,0.9603476279019568,200,3,2,6,206.0,123.02166666666665,3855.2953638888903
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
2,54,0.034918407689863304,0.08027648844073781,0.9603476279019568,200,3,2,6,206.0,123.02166666666665,3855.2953638888903
3,54,0.08799623898362068,0.05052443895277224,0.9887732772111935,200,4,3,6,112.0,75.30833333333335,253.1446527777777
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
2,54,0.034918407689863304,0.08027648844073781,0.9603476279019568,200,3,2,6,206.0,123.02166666666665,3855.2953638888903
3,54,0.08799623898362068,0.05052443895277224,0.9887732772111935,200,4,3,6,112.0,75.30833333333335,253.1446527777777
4,54,0.05578925856167712,0.01716266792104674,0.7127087566217941,200,9,3,8,87.0,68.70416666666667,146.37435763888888
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
2,54,0.034918407689863304,0.08027648844073781,0.9603476279019568,200,3,2,6,206.0,123.02166666666665,3855.2953638888903
3,54,0.08799623898362068,0.05052443895277224,0.9887732772111935,200,4,3,6,112.0,75.30833333333335,253.1446527777777
4,54,0.05578925856167712,0.01716266792104674,0.7127087566217941,200,9,3,8,87.0,68.70416666666667,146.37435763888888
5,54,0.08774947330076444,0.08342635664329644,0.703371784311545,200,5,5,7,119.5,79.2875,362.33782986111095
1,54,0.07564197839292706,0.036310198639993234,0.9611084067724779,200,8,5,6,401.0,217.27083333333331,17008.19977430555
2,54,0.034918407689863304,0.08027648844073781,0.9603476279019568,200,3,2,6,206.0,123.02166666666665,3855.2953638888903
3,54,0.08799623898362068,0.05052443895277224,0.9887732772111935,200,4,3,6,112.0,75.30833333333335,253.1446527777777
4,54,0.05578925856167712,0.01716266792104674,0.7127087566217941,200,9,3,8,87.0,68.70416666666667,146.37435763888888
5,54,0.08774947330076444,0.08342635664329644,0.703371784311545,200,5,5,7,119.5,79.2875,362.33782986111095
