Seed,Trial,Population Size,Phase1 Max Depth,Phase2 Max Depth,Mutation Rate,Phase2 Mutation Rate,Tournament Size,Crossover Rate,Grid Size,Generations,Games to Play,Win Weight,Trail Weight,Best Red Agent Fitness,Best Blue Agent Fitness
453,10,200,3,8,0.0713,0.0861,10,0.7677,6,2000,5,20.0000,5.0000,221.000,226.000
453,10,200,3,8,0.0713,0.0861,10,0.7677,6,2000,5,20.0000,5.0000,221.000,226.000
453,10,200,3,8,0.0713,0.0861,10,0.7677,6,2000,5,20.0000,5.0000,221.000,226.000
