Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
6,100,0.04405094128796015,0.03787877591553251,0.9268828739116127,200,4,4,6,102.0,78.3025,586.4395354166664
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
6,100,0.04405094128796015,0.03787877591553251,0.9268828739116127,200,4,4,6,102.0,78.3025,586.4395354166664
7,100,0.09886888490611462,0.03176883534211496,0.8261746863564846,200,3,5,7,117.0,78.07916666666667,431.5194965277775
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
6,100,0.04405094128796015,0.03787877591553251,0.9268828739116127,200,4,4,6,102.0,78.3025,586.4395354166664
7,100,0.09886888490611462,0.03176883534211496,0.8261746863564846,200,3,5,7,117.0,78.07916666666667,431.5194965277775
8,100,0.03667249026338844,0.048427294612995,0.9195505326469523,200,8,3,6,102.0,73.98333333333333,358.14625
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
6,100,0.04405094128796015,0.03787877591553251,0.9268828739116127,200,4,4,6,102.0,78.3025,586.4395354166664
7,100,0.09886888490611462,0.03176883534211496,0.8261746863564846,200,3,5,7,117.0,78.07916666666667,431.5194965277775
8,100,0.03667249026338844,0.048427294612995,0.9195505326469523,200,8,3,6,102.0,73.98333333333333,358.14625
9,100,0.03191341343575123,0.039881370675239364,0.7424431554741855,200,5,4,8,102.0,74.79,416.44006666666667
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
6,100,0.04405094128796015,0.03787877591553251,0.9268828739116127,200,4,4,6,102.0,78.3025,586.4395354166664
7,100,0.09886888490611462,0.03176883534211496,0.8261746863564846,200,3,5,7,117.0,78.07916666666667,431.5194965277775
8,100,0.03667249026338844,0.048427294612995,0.9195505326469523,200,8,3,6,102.0,73.98333333333333,358.14625
9,100,0.03191341343575123,0.039881370675239364,0.7424431554741855,200,5,4,8,102.0,74.79,416.44006666666667
10,100,0.02055716767672538,0.07368111414156144,0.7360047886947289,200,4,4,6,206.0,101.0525,3663.0070354166673
1,100,0.0749808689373679,0.027547845161293466,0.86686382906158,200,9,3,7,236.0,124.17333333333336,5969.824816666668
2,100,0.0739568165805708,0.03604860995235422,0.9488945772851607,200,6,5,7,216.0,75.8691666666667,482.2855909722216
3,100,0.06045333909458997,0.01668128314213538,0.8590518140875189,200,3,5,7,122.0,91.82166666666667,423.962086111111
4,100,0.09755662150976402,0.05319019166723277,0.8899363744281895,200,5,3,7,171.0,69.96416666666667,303.3139243055553
5,100,0.04494725759972487,0.06454767203583432,0.6263344180332221,200,10,4,6,241.0,119.51,8444.159899999995
6,100,0.04405094128796015,0.03787877591553251,0.9268828739116127,200,4,4,6,102.0,78.3025,586.4395354166664
7,100,0.09886888490611462,0.03176883534211496,0.8261746863564846,200,3,5,7,117.0,78.07916666666667,431.5194965277775
8,100,0.03667249026338844,0.048427294612995,0.9195505326469523,200,8,3,6,102.0,73.98333333333333,358.14625
9,100,0.03191341343575123,0.039881370675239364,0.7424431554741855,200,5,4,8,102.0,74.79,416.44006666666667
