Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,57567,0.06401771901031016,0.09062498922443325,0.7688930798728861,200,8,2,6,251.0,107.145,8824.772030555574
1,57567,0.06401771901031016,0.09062498922443325,0.7688930798728861,200,8,2,6,251.0,107.145,8824.772030555574
2,57567,0.09630012132760922,0.03610256128153408,0.8306377475859124,200,10,3,8,137.0,92.77416666666667,448.09490208333324
1,57567,0.06401771901031016,0.09062498922443325,0.7688930798728861,200,8,2,6,251.0,107.145,8824.772030555574
2,57567,0.09630012132760922,0.03610256128153408,0.8306377475859124,200,10,3,8,137.0,92.77416666666667,448.09490208333324
3,57567,0.09686181279874698,0.017783787105742323,0.6758203118150004,200,4,3,8,104.5,79.63500000000002,352.00427499999984
1,57567,0.06401771901031016,0.09062498922443325,0.7688930798728861,200,8,2,6,251.0,107.145,8824.772030555574
2,57567,0.09630012132760922,0.03610256128153408,0.8306377475859124,200,10,3,8,137.0,92.77416666666667,448.09490208333324
3,57567,0.09686181279874698,0.017783787105742323,0.6758203118150004,200,4,3,8,104.5,79.63500000000002,352.00427499999984
4,57567,0.030882396363538893,0.09337582183335778,0.9616930397071659,200,9,4,5,261.0,104.76333333333332,7544.641766666656
1,57567,0.06401771901031016,0.09062498922443325,0.7688930798728861,200,8,2,6,251.0,107.145,8824.772030555574
2,57567,0.09630012132760922,0.03610256128153408,0.8306377475859124,200,10,3,8,137.0,92.77416666666667,448.09490208333324
3,57567,0.09686181279874698,0.017783787105742323,0.6758203118150004,200,4,3,8,104.5,79.63500000000002,352.00427499999984
4,57567,0.030882396363538893,0.09337582183335778,0.9616930397071659,200,9,4,5,261.0,104.76333333333332,7544.641766666656
5,57567,0.012746413833186533,0.09199926469012655,0.9049143413029765,200,10,2,6,201.0,99.87666666666667,6592.390899999994
1,57567,0.06401771901031016,0.09062498922443325,0.7688930798728861,200,8,2,6,251.0,107.145,8824.772030555574
2,57567,0.09630012132760922,0.03610256128153408,0.8306377475859124,200,10,3,8,137.0,92.77416666666667,448.09490208333324
3,57567,0.09686181279874698,0.017783787105742323,0.6758203118150004,200,4,3,8,104.5,79.63500000000002,352.00427499999984
4,57567,0.030882396363538893,0.09337582183335778,0.9616930397071659,200,9,4,5,261.0,104.76333333333332,7544.641766666656
5,57567,0.012746413833186533,0.09199926469012655,0.9049143413029765,200,10,2,6,201.0,99.87666666666667,6592.390899999994
