Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
3,5,0.07902702346359859,0.05213173984129515,0.6434450838592748,200,10,4,5,371.0,166.86333333333332,20825.412433333335
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
3,5,0.07902702346359859,0.05213173984129515,0.6434450838592748,200,10,4,5,371.0,166.86333333333332,20825.412433333335
4,5,0.03163604045057208,0.09297411299282153,0.8303513497368002,200,5,4,5,396.0,189.90166666666667,17508.896719444452
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
3,5,0.07902702346359859,0.05213173984129515,0.6434450838592748,200,10,4,5,371.0,166.86333333333332,20825.412433333335
4,5,0.03163604045057208,0.09297411299282153,0.8303513497368002,200,5,4,5,396.0,189.90166666666667,17508.896719444452
5,5,0.04084817712785252,0.09868506211628275,0.8525118385740202,200,5,3,8,102.0,72.62416666666667,341.53020763888884
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
3,5,0.07902702346359859,0.05213173984129515,0.6434450838592748,200,10,4,5,371.0,166.86333333333332,20825.412433333335
4,5,0.03163604045057208,0.09297411299282153,0.8303513497368002,200,5,4,5,396.0,189.90166666666667,17508.896719444452
5,5,0.04084817712785252,0.09868506211628275,0.8525118385740202,200,5,3,8,102.0,72.62416666666667,341.53020763888884
6,5,0.03262419968428363,0.016015635822269392,0.8800030260341267,200,5,5,5,146.0,104.01,2932.8698999999983
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
3,5,0.07902702346359859,0.05213173984129515,0.6434450838592748,200,10,4,5,371.0,166.86333333333332,20825.412433333335
4,5,0.03163604045057208,0.09297411299282153,0.8303513497368002,200,5,4,5,396.0,189.90166666666667,17508.896719444452
5,5,0.04084817712785252,0.09868506211628275,0.8525118385740202,200,5,3,8,102.0,72.62416666666667,341.53020763888884
6,5,0.03262419968428363,0.016015635822269392,0.8800030260341267,200,5,5,5,146.0,104.01,2932.8698999999983
7,5,0.07087656991078833,0.09342536958597852,0.9283564286075787,200,9,2,8,321.0,132.09166666666667,6385.153819444443
1,5,0.07574678772530238,0.01794325687086033,0.7955618199406543,200,6,5,6,119.5,85.83166666666665,361.0143027777779
2,5,0.0732581551821852,0.05206582207592591,0.735892094934997,200,8,5,6,221.0,107.11083333333332,2345.5315354166655
