Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
2,343,0.018972028420463846,0.09624495660734465,0.8281507576602152,200,4,2,8,87.0,68.33166666666668,181.26360833333317
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
2,343,0.018972028420463846,0.09624495660734465,0.8281507576602152,200,4,2,8,87.0,68.33166666666668,181.26360833333317
3,343,0.07634139815351082,0.057504937759743864,0.8853940927129071,200,9,3,5,112.0,67.84416666666667,583.7924520833333
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
2,343,0.018972028420463846,0.09624495660734465,0.8281507576602152,200,4,2,8,87.0,68.33166666666668,181.26360833333317
3,343,0.07634139815351082,0.057504937759743864,0.8853940927129071,200,9,3,5,112.0,67.84416666666667,583.7924520833333
4,343,0.09605837385285652,0.09521582451655183,0.8876952421721707,200,4,5,5,112.0,75.23916666666666,246.0817576388887
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
2,343,0.018972028420463846,0.09624495660734465,0.8281507576602152,200,4,2,8,87.0,68.33166666666668,181.26360833333317
3,343,0.07634139815351082,0.057504937759743864,0.8853940927129071,200,9,3,5,112.0,67.84416666666667,583.7924520833333
4,343,0.09605837385285652,0.09521582451655183,0.8876952421721707,200,4,5,5,112.0,75.23916666666666,246.0817576388887
5,343,0.09812643898360726,0.09362983406613232,0.9889555102202834,200,8,2,5,186.0,70.97999999999999,527.6079333333334
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
2,343,0.018972028420463846,0.09624495660734465,0.8281507576602152,200,4,2,8,87.0,68.33166666666668,181.26360833333317
3,343,0.07634139815351082,0.057504937759743864,0.8853940927129071,200,9,3,5,112.0,67.84416666666667,583.7924520833333
4,343,0.09605837385285652,0.09521582451655183,0.8876952421721707,200,4,5,5,112.0,75.23916666666666,246.0817576388887
5,343,0.09812643898360726,0.09362983406613232,0.9889555102202834,200,8,2,5,186.0,70.97999999999999,527.6079333333334
6,343,0.031011938100621708,0.010108362208112872,0.8342271728158801,200,10,4,5,231.0,113.51916666666665,3734.408035416666
1,343,0.07743987651445382,0.0535541664716012,0.8905784084568232,200,4,2,7,176.0,82.5525,1493.9167576388872
2,343,0.018972028420463846,0.09624495660734465,0.8281507576602152,200,4,2,8,87.0,68.33166666666668,181.26360833333317
3,343,0.07634139815351082,0.057504937759743864,0.8853940927129071,200,9,3,5,112.0,67.84416666666667,583.7924520833333
4,343,0.09605837385285652,0.09521582451655183,0.8876952421721707,200,4,5,5,112.0,75.23916666666666,246.0817576388887
5,343,0.09812643898360726,0.09362983406613232,0.9889555102202834,200,8,2,5,186.0,70.97999999999999,527.6079333333334
6,343,0.031011938100621708,0.010108362208112872,0.8342271728158801,200,10,4,5,231.0,113.51916666666665,3734.408035416666
