Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
6,566556,0.07112075132622307,0.07510434992167658,0.7993132234982172,200,3,3,7,102.0,72.19083333333332,273.00934652777767
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
6,566556,0.07112075132622307,0.07510434992167658,0.7993132234982172,200,3,3,7,102.0,72.19083333333332,273.00934652777767
7,566556,0.06526663311831384,0.0390152987093373,0.644598228597439,200,6,3,6,296.0,147.59333333333333,6972.7101777777825
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
6,566556,0.07112075132622307,0.07510434992167658,0.7993132234982172,200,3,3,7,102.0,72.19083333333332,273.00934652777767
7,566556,0.06526663311831384,0.0390152987093373,0.644598228597439,200,6,3,6,296.0,147.59333333333333,6972.7101777777825
8,566556,0.028813601191842834,0.011741997090993765,0.7149400027996293,200,6,3,6,97.0,72.67333333333332,212.71537222222207
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
6,566556,0.07112075132622307,0.07510434992167658,0.7993132234982172,200,3,3,7,102.0,72.19083333333332,273.00934652777767
7,566556,0.06526663311831384,0.0390152987093373,0.644598228597439,200,6,3,6,296.0,147.59333333333333,6972.7101777777825
8,566556,0.028813601191842834,0.011741997090993765,0.7149400027996293,200,6,3,6,97.0,72.67333333333332,212.71537222222207
9,566556,0.0477299926775808,0.09014077527138915,0.6573834735452829,200,10,3,6,236.0,108.335,9043.115275000011
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
6,566556,0.07112075132622307,0.07510434992167658,0.7993132234982172,200,3,3,7,102.0,72.19083333333332,273.00934652777767
7,566556,0.06526663311831384,0.0390152987093373,0.644598228597439,200,6,3,6,296.0,147.59333333333333,6972.7101777777825
8,566556,0.028813601191842834,0.011741997090993765,0.7149400027996293,200,6,3,6,97.0,72.67333333333332,212.71537222222207
9,566556,0.0477299926775808,0.09014077527138915,0.6573834735452829,200,10,3,6,236.0,108.335,9043.115275000011
10,566556,0.03973783287016983,0.06907029236992548,0.9086264327788964,200,10,3,7,107.0,72.59416666666667,266.92397986111115
1,566556,0.012417195089856097,0.046302597637831504,0.9286176362069141,200,6,4,6,82.0,64.07833333333333,113.37566944444444
2,566556,0.0636295541006245,0.04910477560662495,0.9559753780236003,200,7,2,7,104.5,75.66749999999999,226.93117986111127
3,566556,0.04010360571457489,0.06516972697621373,0.9825955478492656,200,8,3,6,104.5,70.615,445.6580249999996
4,566556,0.042231288252607226,0.09390269072717426,0.773027148583112,200,9,3,6,87.0,69.16666666666669,155.78486111111104
5,566556,0.014030804532448454,0.05485322604308344,0.8632836733123432,200,5,3,7,102.0,75.03333333333332,170.70333333333332
6,566556,0.07112075132622307,0.07510434992167658,0.7993132234982172,200,3,3,7,102.0,72.19083333333332,273.00934652777767
7,566556,0.06526663311831384,0.0390152987093373,0.644598228597439,200,6,3,6,296.0,147.59333333333333,6972.7101777777825
8,566556,0.028813601191842834,0.011741997090993765,0.7149400027996293,200,6,3,6,97.0,72.67333333333332,212.71537222222207
